COD_EMPRESA;COD_FILIAL;PORTE;B_SOCIO;B_PEDIDO_DEMISSAO;QNT_MESES_ASSOC;PAGO_EM_DIA;PAGO_EM_DIA_POSTERGADO;PAGO_EM_ATRASO;EM_ABERTO;CAT_CARGO1;CAT_CARGO2;CAT_CARGO3;GRUPO1;GRUPO2;GRUPO3;GRUPO4;GRUPO5;GRUPO6;GRUPO7;GRUPO8;GRUPO9;GRUPO10;GRUPO11;TOTAL_PART_EVENTOS;MESES_SEM_PART
P |01|01||00000869|0001|;P |01|01|04|;M;1;0;6;7;3;0;0;1;4;6;4;2;0;4;1;0;0;0;0;0;0;11;2
P |01|01||07192217|0001|;P |01|01|08|;P;1;0;6;8;4;0;1;7;1;0;2;1;5;0;0;0;0;0;0;0;0;8;4
P |01|01||68405083|0001|;P |01|01|08|;M;0;1;6;0;0;4;3;1;2;3;4;2;0;0;0;0;0;0;0;0;0;6;0
P |01|01||07497786|0001|;P |01|01|05|;P;1;0;6;7;3;0;1;5;0;2;2;1;0;3;0;1;0;0;0;0;0;7;1
P |01|01||02333707|0049|;P |01|01|08|;M;1;0;6;6;0;0;0;3;7;18;4;7;2;10;0;0;5;0;0;0;0;28;1
P |01|01||00000759|0001|;P |01|01|05|;P;0;1;4;2;0;3;0;2;0;1;0;1;0;0;1;1;0;0;0;0;0;3;1
P |01|01||31063018|0001|;P |01|01|09|;P;1;0;6;6;1;2;1;17;0;10;1;1;9;1;3;11;1;0;0;0;0;27;0
P |01|01||00000768|0001|;P |01|01|03|;M;1;0;6;2;0;7;3;8;0;5;0;0;0;0;3;8;2;0;0;0;0;13;1
P |01|01||00000769|0001|;P |01|01|10|;P;1;0;6;7;4;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;5
P |01|01||00000770|0001|;P |01|01|04|;M;0;1;6;6;2;2;0;4;4;0;4;3;0;0;0;0;1;0;0;0;0;8;1
P |01|01||00000771|0001|;P |01|01|01|;P;0;1;6;2;2;4;0;6;0;0;0;0;0;0;0;6;0;0;0;0;0;6;3
P |01|01||00000772|0001|;P |01|01|14|;P;1;0;6;6;1;5;1;12;1;2;4;4;1;0;1;5;0;0;0;0;0;15;2
P |01|01||00000760|0001|;P |01|01|05|;P;0;1;3;0;0;4;0;3;0;0;0;0;0;1;1;1;0;0;0;0;0;3;1
P |01|01||00000767|0001|;P |01|01|04|;M;1;0;6;9;4;0;0;7;9;20;7;18;0;6;2;2;1;0;0;0;0;36;0
P |01|01||00000802|0001|;P |01|01|10|;M;1;0;6;1;0;0;0;0;2;1;0;1;0;0;0;2;0;0;0;0;0;3;1
P |01|01||22004822|0001|;P |01|01|10|;P;1;0;6;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;2
P |01|01||00000803|0001|;P |01|01|07|;P;0;1;4;0;1;3;0;19;0;1;0;5;2;2;0;10;1;0;0;0;0;20;1
P |01|01||00000804|0001|;P |01|01|10|;P;0;1;6;3;1;2;3;3;0;4;1;1;0;0;0;5;0;0;0;0;0;7;1
P |01|01||00000805|0001|;P |01|01|14|;P;1;0;6;4;2;5;1;12;0;6;3;8;1;0;4;2;0;0;0;0;0;18;1
P |01|01||00000806|0001|;P |01|01|04|;P;1;0;6;2;1;7;1;12;0;2;2;4;1;0;3;4;0;0;0;0;0;14;1
P |01|01||00000817|0001|;P |01|01|13|;P;0;1;6;4;1;2;3;7;0;1;1;0;0;1;1;5;0;0;0;0;0;8;0
P |01|01||00000819|0001|;P |01|01|07|;M;1;0;6;6;0;18;1;0;48;80;13;10;15;26;2;57;5;0;0;0;0;128;0
P |01|01||00000820|0001|;P |01|01|07|;P;0;1;6;1;0;3;0;0;2;4;2;0;0;1;0;3;0;0;0;0;0;6;2
P |01|01||00000811|0001|;P |01|01|03|;M;1;0;6;6;3;4;1;0;8;31;0;10;0;1;2;26;0;0;0;0;0;39;2
P |01|01||00000812|0001|;P |01|01|07|;P;0;1;6;3;3;0;3;7;2;2;0;6;2;0;0;3;0;0;0;0;0;11;0
P |01|01||00000813|0001|;P |01|01|03|;P;0;1;6;7;0;0;0;8;5;1;0;4;0;2;0;7;1;0;0;0;0;14;0
P |01|01||05061290|0001|;P |01|01|05|;P;0;1;6;1;0;4;0;4;0;3;0;0;0;0;0;7;0;0;0;0;0;7;0
P |01|01||31203869|0001|;P |01|01|01|;P;0;1;6;4;2;1;3;5;0;1;1;1;1;0;0;3;0;0;0;0;0;6;0
